URL,Size in Bytes,# of outlinks found,Content-Type
https://www.nytimes.com/,1048576 Byte,85,text/html
https://www.nytimes.com/2020/09/26/world/covid-19-coronavirus.html,1048576 Byte,90,text/html
https://www.nytimes.com/section/books,606262 Byte,108,text/html
https://www.nytimes.com/video,415231 Byte,49,text/html
https://www.nytimes.com/interactive/2020/us/puerto-rico-coronavirus-cases.html,310312 Byte,173,text/html
https://www.nytimes.com/2020/09/24/books/october-2020-new-books.html,513729 Byte,76,text/html
https://www.nytimes.com/section/arts,550158 Byte,85,text/html
https://www.nytimes.com/section/us,611775 Byte,63,text/html
https://www.nytimes.com/video/investigations,1048576 Byte,99,text/html
https://www.nytimes.com/interactive/2020/us/new-hampshire-coronavirus-cases.html,311132 Byte,173,text/html
https://www.nytimes.com/article/coronavirus-how-it-spreads.html,444264 Byte,67,text/html
https://www.nytimes.com/2020/09/26/business/china-coronavirus-vaccine.html,398374 Byte,55,text/html
https://www.nytimes.com/vi-assets/static-assets/apple-touch-icon-28865b72953380a40aa43318108876cb.png,3148 Byte,0,image/png
https://www.nytimes.com/2020/09/26/us/politics/amy-coney-barrett-supreme-court.html,561418 Byte,57,text/html
https://www.nytimes.com/interactive/2020/us/coronavirus-testing.html,1048576 Byte,89,text/html
https://www.nytimes.com/interactive/2020/us/virginia-coronavirus-cases.html,313907 Byte,173,text/html
https://www.nytimes.com/video/Most-Viewed,939473 Byte,62,text/html
https://www.nytimes.com/interactive/2020/us/louisiana-coronavirus-cases.html,314319 Byte,173,text/html
https://www.nytimes.com/section/nyregion,479450 Byte,73,text/html
https://www.nytimes.com/2020/09/26/us/coronavirus-vermont-transplants.html,431670 Byte,50,text/html
https://www.nytimes.com/2020/09/21/us/politics/us-iran-sanctions.html,264592 Byte,50,text/html
https://www.nytimes.com/vi-assets/static-assets/ios-iphone-114x144-080e7ec6514fdc62bcbb7966d9b257d2.png,2440 Byte,0,image/png
https://www.nytimes.com/article/prepare-for-coronavirus.html,507431 Byte,99,text/html
https://www.nytimes.com/by/jin-wu,791222 Byte,49,text/html
https://www.nytimes.com/2020/09/25/opinion/amy-coney-barrett-scotus.html,333282 Byte,73,text/html
https://www.nytimes.com/2020/09/25/opinion/debate-trump-biden-lie.html,247936 Byte,50,text/html
https://www.nytimes.com/interactive/2020/us/coronavirus-us-cases.html,461056 Byte,191,text/html
https://www.nytimes.com/video/magazine,1048576 Byte,99,text/html
https://www.nytimes.com/by/sarah-almukhtar,799868 Byte,52,text/html
https://www.nytimes.com/2020/09/26/opinion/amy-coney-barrett-nominee.html,305078 Byte,71,text/html
https://www.nytimes.com/section/todayspaper,1038758 Byte,82,text/html
https://www.nytimes.com/interactive/2020/us/wisconsin-coronavirus-cases.html,312421 Byte,173,text/html
https://www.nytimes.com/interactive/2020/world/coronavirus-tips-advice.html,323869 Byte,418,text/html
https://www.nytimes.com/by/jugal-k-patel,888374 Byte,52,text/html
https://www.nytimes.com/video/hk-protest,1048576 Byte,99,text/html
